Selected Redman 2013 ThAr lines.  Vacuum lam from energy levels.
lambda(nm)    Bright  dlambda(nm)
 504.8450765   2400.  0.0000013
 505.0344354    450.  0.0000011
 505.1204120   2400.  0.0000030
 505.1254180    550.  0.0000090
 505.2192483   2600.  0.0000013
 505.3297200   1300.  0.0000040
 505.6628780    370.  0.0000040
 505.6756850    960.  0.0000040
 505.9396680    620.  0.0000120
 505.9771315    740.  0.0000014
 506.1271660   2200.  0.0000030
 506.3067350    600.  0.0000030
 506.4344050    640.  0.0000080
 506.4927300    590.  0.0000030
 506.5410557    590.  0.0000013
 506.6013982   3900.  0.0000020
 506.6357404   4700.  0.0000013
 506.6604630   2200.  0.0000020
 506.7548028   1300.  0.0000020
 506.8189780    730.  0.0000090
 506.8550609    510.  0.0000024
 506.9386662  15000.  0.0000010
 508.2862520    670.  0.0000030
 508.6116760   1200.  0.0000080
 508.6410950    680.  0.0000030
 508.6713020    700.  0.0000140
 509.1469980    450.  0.0000080
 509.1964075    970.  0.0000009
 509.2169630    640.  0.0000090
 509.6487990   1800.  0.0000130
 509.7905214   2700.  0.0000014
 509.9464220    680.  0.0000070
 510.2042652   3500.  0.0000010
 510.2551444    670.  0.0000021
 511.1157230    330.  0.0000060
 511.2702610   1200.  0.0000040
 511.6470027   6800.  0.0000016
 511.8718530    510.  0.0000100
 512.3926940    510.  0.0000030
 512.6917780    650.  0.0000080
 512.7378571   1400.  0.0000008
 512.9918720   1200.  0.0000030
 513.2501470    300.  0.0000120
 513.4535420    330.  0.0000100
 513.6176560   2100.  0.0000014
 513.8904650    580.  0.0000022
 514.2150220    290.  0.0000070
 514.2205800    670.  0.0000030
 514.4700180    900.  0.0000050
 514.5349552   2900.  0.0000022
 514.6471660    530.  0.0000060
 514.7489280    410.  0.0000120
 514.9645790    910.  0.0000090
 515.3046966   6000.  0.0000009
 515.5678823   7800.  0.0000012
 516.0041165  16000.  0.0000009
 516.2130260    780.  0.0000080
 516.2168320    970.  0.0000030
 516.2977331   2200.  0.0000023
 516.4896684   3300.  0.0000011
 517.0026239    440.  0.0000022
 517.0362148    410.  0.0000019
 517.5112470    630.  0.0000023
 517.6766100    900.  0.0000040
 517.7353510    550.  0.0000060
 517.7845382    610.  0.0000022
 517.8402978   5000.  0.0000018
 517.9064950    700.  0.0000030
 518.3970290    560.  0.0000190
 518.5433330    570.  0.0000060
 518.5897240    670.  0.0000030
 518.7857468    440.  0.0000019
 518.8782063   1400.  0.0000011
 518.8912430    240.  0.0000070
 519.2317630    740.  0.0000050
 519.5904110   1900.  0.0000030
 519.7260519   5100.  0.0000010
 520.0247438   3000.  0.0000021
 520.0611588   9200.  0.0000009
 520.0774609   1500.  0.0000024
 520.6601590    710.  0.0000040
 520.7945240    650.  0.0000070
 521.1174973   1500.  0.0000013
 521.2681326   6900.  0.0000011
 521.4800819   2500.  0.0000014
 521.8049050    850.  0.0000050
 521.9979970    460.  0.0000040
 522.0563004   4400.  0.0000015
 522.2379956    640.  0.0000019
 522.9680100    830.  0.0000040
 523.2615854  15000.  0.0000009
 523.4682290    990.  0.0000060
 524.0272094   2100.  0.0000018
 524.1010614   1800.  0.0000013
 524.1655520    640.  0.0000050
 524.8657449    540.  0.0000014
 524.9115320   1900.  0.0000050
 525.5721320    550.  0.0000030
 525.9823801   9200.  0.0000013
 526.1568191   1500.  0.0000024
 526.2936348    550.  0.0000015
 526.8175973   4600.  0.0000011
 527.4394242    710.  0.0000023
 527.4599430    460.  0.0000070
 527.5586444   1800.  0.0000013
 527.8614360    450.  0.0000030
 527.8968920   1300.  0.0000060
 528.2538324   1300.  0.0000009
 529.3288960    810.  0.0000030
 529.5870228   1300.  0.0000024
 529.7752294   1800.  0.0000020
 529.9217099   2000.  0.0000025
 529.9321830    630.  0.0000060
 529.9756629   2000.  0.0000021
 530.1998060   1100.  0.0000018
 530.8462960    520.  0.0000030
 530.8942130    890.  0.0000160
 531.1743980    670.  0.0000050
 531.3479513   7300.  0.0000009
 531.4006829   3400.  0.0000013
 531.4382476   2200.  0.0000017
 531.8973654   1500.  0.0000017
 532.6625200    840.  0.0000090
 532.6913010    630.  0.0000040
 532.7758980   1000.  0.0000030
 532.8457512   4400.  0.0000022
 533.1562950    740.  0.0000030
 534.1983770    520.  0.0000110
 534.5067449  11000.  0.0000011
 534.9458748    980.  0.0000015
 535.2614810   1300.  0.0000050
 535.3324920    380.  0.0000080
 535.7125980    420.  0.0000040
 536.0196340    380.  0.0000070
 536.1317612    420.  0.0000025
 536.1640608   2200.  0.0000015
 536.2646580    560.  0.0000030
 536.4066485    790.  0.0000010
 537.0774838    900.  0.0000023
 537.0940161    720.  0.0000014
 537.2202837    570.  0.0000012
 537.4196680    820.  0.0000030
 537.6316373   1800.  0.0000020
 537.6847230    680.  0.0000060
 537.7263670    610.  0.0000110
 537.7625380   4200.  0.0000070
 537.8276010    820.  0.0000030
 538.0331290   1800.  0.0000030
 538.0606148   3300.  0.0000015
 538.4424250    590.  0.0000050
 538.8108047   4700.  0.0000014
 538.9548940    750.  0.0000040
 539.1924291   2400.  0.0000014
 539.1965840    940.  0.0000060
 539.4072010    770.  0.0000050
 539.5471420    850.  0.0000030
 539.6260573   4100.  0.0000011
 540.0202350   1300.  0.0000040
 540.0423140    940.  0.0000070
 540.0675500   1800.  0.0000040
 540.4701680    760.  0.0000060
 540.9156906   4900.  0.0000018
 541.2272939   3700.  0.0000020
 541.6938330    780.  0.0000090
 541.7028064   1600.  0.0000017
 541.8991740  12000.  0.0000011
 542.3343240    370.  0.0000090
 542.5515554   2500.  0.0000021
 542.7186470   1200.  0.0000080
 543.2621444   3100.  0.0000015
 543.5661870   1400.  0.0000030
 543.5661870   1400.  0.0000030
 543.7403360    930.  0.0000070
 543.8899180    690.  0.0000090
